Model_Type,Dataset,Mutation_Level,Mutate_time,Number_of_Mutants,Number_of_Clusters,Neurons_per_Cluster_param,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.067774534,72,24,7,8,8,8,0.015361547,0.765946502,70.14437938,70.22751546
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.068912745,72,24,7,8,8,8,0.014252186,0.765946502,70.34451604,70.42768097
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.067873716,72,24,7,8,8,8,0.014546156,0.765946502,71.51734638,71.59976625
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.071483135,72,24,7,8,8,8,0.015537024,0.765946502,70.74908423,70.83610439
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.06035018,63,21,8,7,7,7,0.013943911,0.80952381,62.04966378,62.12395787
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.063829422,63,21,8,7,7,7,0.013131857,0.80952381,61.71643209,61.79339337
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.063021898,63,21,8,7,7,7,0.01345706,0.80952381,62.671767,62.74824595
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.062042475,63,21,8,7,7,7,0.014047384,0.80952381,61.60034966,61.67643952
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.063181877,63,21,8,7,7,7,0.014098406,0.80952381,61.53527451,61.61255479
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.061726332,63,21,8,7,7,7,0.015208483,0.80952381,61.05199909,61.12893391
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.053084612,54,18,9,6,6,6,0.013902903,0.799725652,53.27456307,53.34155059
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.054810286,54,18,9,6,6,6,0.013396263,0.799725652,52.69219446,52.76040101
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.052328825,54,18,9,6,6,6,0.012253284,0.799725652,53.16308093,53.22766304
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.052080154,54,18,9,6,6,6,0.013119221,0.799725652,54.29279041,54.35798979
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.052779436,54,18,9,6,6,6,0.013168097,0.799725652,52.82047629,52.88642383
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.052937984,54,18,9,6,6,6,0.011956215,0.799725652,52.9627378,53.027632
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.044218779,45,15,10,5,5,5,0.012170792,0.788477366,43.93165159,43.98804116
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.043401957,45,15,10,5,5,5,0.011477947,0.788477366,43.89405012,43.94893003
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.044221163,45,15,10,5,5,5,0.01249814,0.788477366,44.96388507,45.02060437
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.045084953,45,15,10,5,5,5,0.011533976,0.788477366,43.7352922,43.79191113
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.043954372,45,15,10,5,5,5,0.012834311,0.788477366,44.63756847,44.69435716
examples/emnist/fcnn-emnist.keras,emnist,cluster,0.046786308,45,15,10,5,5,5,0.012167692,0.788477366,43.72808528,43.78703928
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.584108591,678,226,1,120,6,56.5,0.056309223,0.627062165,716.4760952,717.116513
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.58831048,678,226,1,120,6,56.5,0.063843489,0.627062165,714.3105538,714.9627078
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.58864522,678,226,1,120,6,56.5,0.062356472,0.627062165,715.5337729,716.1847746
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.588040352,678,226,1,120,6,56.5,0.056824446,0.627062165,715.8562138,716.5010786
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.588448763,678,226,1,120,6,56.5,0.057219982,0.627062165,717.6240494,718.2697182
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.591053486,678,226,1,120,6,56.5,0.06407547,0.627062165,716.1340652,716.7891941
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.294610739,339,113,2,60,3,28.25,0.036271334,0.659455916,356.8509474,357.1818295
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.299776554,339,113,2,60,3,28.25,0.038944483,0.659455916,354.7091124,355.0478334
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.298567772,339,113,2,60,3,28.25,0.037916183,0.659455916,356.3474245,356.6839085
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.293863297,339,113,2,60,3,28.25,0.037134171,0.659455916,355.3096616,355.6406591
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.29729414,339,113,2,60,3,28.25,0.033825874,0.659455916,356.4071248,356.7382448
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.2957623,339,113,2,60,3,28.25,0.037322998,0.659455916,353.8891704,354.2222557
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.201007128,228,76,3,40,2,19,0.027186871,0.67820013,239.2325883,239.4607823
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.200277805,228,76,3,40,2,19,0.028075218,0.67820013,238.0436831,238.2720361
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.200361013,228,76,3,40,2,19,0.025794983,0.67820013,242.039597,242.265753
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.199053288,228,76,3,40,2,19,0.025498152,0.67820013,239.8055592,240.0301106
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.201214075,228,76,3,40,2,19,0.025824308,0.67820013,240.0277116,240.25475
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.199610949,228,76,3,40,2,19,0.027740479,0.67820013,239.1990557,239.4264071
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.152926445,171,57,4,30,2,14.25,0.023898602,0.691141434,178.7954602,178.9722853
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.150003672,171,57,4,30,2,14.25,0.021668434,0.691141434,177.7297628,177.9014349
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.152604342,171,57,4,30,2,14.25,0.021753073,0.691141434,179.3376734,179.5120308
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.152842045,171,57,4,30,2,14.25,0.022187233,0.691141434,181.3785925,181.5536218
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.151735783,171,57,4,30,2,14.25,0.023691893,0.691141434,180.0652184,180.2406461
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.152251005,171,57,4,30,2,14.25,0.02393961,0.691141434,178.6161501,178.7923408
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.124729872,141,47,5,24,2,11.75,0.019408703,0.696611505,148.9237049,149.0678434
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.12797451,141,47,5,24,2,11.75,0.019160986,0.696611505,149.6138394,149.7609749
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.124835253,141,47,5,24,2,11.75,0.019320011,0.696611505,148.4557855,148.5999408
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.125583887,141,47,5,24,2,11.75,0.021089792,0.696611505,147.1651218,147.3117955
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.124243736,141,47,5,24,2,11.75,0.019373655,0.696611505,148.9113669,149.0549843
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.125163555,141,47,5,24,2,11.75,0.021532297,0.696611505,147.3026645,147.4493604
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.104645014,114,38,6,20,1,9.5,0.018259287,0.689083821,120.546571,120.6694753
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.10191226,114,38,6,20,1,9.5,0.018297195,0.689083821,118.8175483,118.9377577
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.102716923,114,38,6,20,1,9.5,0.01972127,0.689083821,119.266484,119.3889222
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.102353096,114,38,6,20,1,9.5,0.019646406,0.689083821,119.5190353,119.6410348
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.104298115,114,38,6,20,1,9.5,0.019876242,0.689083821,120.5830865,120.7072608
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.103129625,114,38,6,20,1,9.5,0.018985271,0.689083821,120.2488158,120.3709307
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.090601206,102,34,7,18,1,8.5,0.018419027,0.690631808,109.5839283,109.6929486
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.091792345,102,34,7,18,1,8.5,0.018461704,0.690631808,107.9302049,108.0404589
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.092225075,102,34,7,18,1,8.5,0.017003536,0.690631808,109.7626379,109.8718665
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.093595028,102,34,7,18,1,8.5,0.018533707,0.690631808,108.3452258,108.4573545
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.092566013,102,34,7,18,1,8.5,0.01677537,0.690631808,107.4938831,107.6032245
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.093277216,102,34,7,18,1,8.5,0.016256809,0.690631808,107.7808883,107.8904223
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.078655481,87,29,8,15,1,7.25,0.015923738,0.699446573,91.75497651,91.84955573
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.079039097,87,29,8,15,1,7.25,0.017622948,0.699446573,90.21956635,90.31622839
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.079655647,87,29,8,15,1,7.25,0.017063856,0.699446573,90.15425968,90.25097919
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.079672575,87,29,8,15,1,7.25,0.016724586,0.699446573,90.59392214,90.6903193
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.080143213,87,29,8,15,1,7.25,0.017602444,0.699446573,91.5437324,91.64147806
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.0798347,87,29,8,15,1,7.25,0.016260386,0.699446573,90.94815683,91.04425192
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.074958324,81,27,9,14,1,6.75,0.01718545,0.703246456,86.27520514,86.36734891
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.074492693,81,27,9,14,1,6.75,0.015762568,0.703246456,86.38417172,86.47442698
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.075354815,81,27,9,14,1,6.75,0.0151968,0.703246456,86.67669392,86.76724553
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.073981762,81,27,9,14,1,6.75,0.015016556,0.703246456,87.04014134,87.12913966
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.0750494,81,27,9,14,1,6.75,0.015165806,0.703246456,85.72937918,85.81959438
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.074033499,81,27,9,14,1,6.75,0.015366793,0.703246456,84.73232055,84.82172084
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.066796064,72,24,10,12,1,6,0.014622927,0.705761317,75.65897918,75.74039817
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.065942049,72,24,10,12,1,6,0.015166044,0.705761317,75.92571545,76.00682354
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.067234755,72,24,10,12,1,6,0.015976667,0.705761317,76.15229225,76.23550367
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.067190409,72,24,10,12,1,6,0.015117168,0.705761317,77.0058136,77.08812118
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.065435171,72,24,10,12,1,6,0.016102552,0.705761317,75.22824669,75.30978441
examples/emnist/lenet5-emnist.keras,emnist,cluster,0.065938711,72,24,10,12,1,6,0.016230583,0.705761317,75.49647927,75.57864857
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.40915966,450,150,1,50,50,50,0.04834795,0.600444444,230.3550906,230.8125982
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.414740562,450,150,1,50,50,50,0.053357124,0.600444444,229.1713638,229.6394615
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.410824537,450,150,1,50,50,50,0.053873301,0.600444444,228.9946611,229.4593589
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.397445917,450,150,1,50,50,50,0.045281887,0.600444444,228.7459562,229.188684
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.402589083,450,150,1,50,50,50,0.043344975,0.600444444,229.5988128,230.0447469
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.400524616,450,150,1,50,50,50,0.046834946,0.600444444,229.6780436,230.1254032
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.207187176,225,75,2,25,25,25,0.026406288,0.696888889,111.798486,112.0320795
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.201645136,225,75,2,25,25,25,0.025606871,0.696888889,113.8661156,114.0933676
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.208706617,225,75,2,25,25,25,0.029856443,0.696888889,113.13711,113.3756731
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.203649282,225,75,2,25,25,25,0.026302338,0.696888889,112.517065,112.7470167
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.201019049,225,75,2,25,25,25,0.028517246,0.696888889,113.2157474,113.4452837
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.206245422,225,75,2,25,25,25,0.029609442,0.696888889,113.4047439,113.6405988
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.140008688,153,51,3,17,17,17,0.022048712,0.726143791,79.20921063,79.37126803
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.138546467,153,51,3,17,17,17,0.022428751,0.726143791,78.86623812,79.02721334
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.136678696,153,51,3,17,17,17,0.022006035,0.726143791,76.78629637,76.9449811
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.139060259,153,51,3,17,17,17,0.022460461,0.726143791,78.15287304,78.31439376
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.136697531,153,51,3,17,17,17,0.02157402,0.726143791,77.7873981,77.94566965
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.138423204,153,51,3,17,17,17,0.021332502,0.726143791,78.24022484,78.39998055
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.111848354,117,39,4,13,13,13,0.019067526,0.745299145,59.37431884,59.50523472
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.105195284,117,39,4,13,13,13,0.018665075,0.745299145,58.69474649,58.81860685
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.108014822,117,39,4,13,13,13,0.019930124,0.745299145,58.30870628,58.43665123
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.110008955,117,39,4,13,13,13,0.01980114,0.745299145,58.56890297,58.69871306
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.107407808,117,39,4,13,13,13,0.019593239,0.745299145,58.44183636,58.5688374
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.111732721,117,39,4,13,13,13,0.018638134,0.745299145,58.6245153,58.75488615
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.081537962,90,30,5,10,10,10,0.016706944,0.751111111,46.42946076,46.52770567
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.081703424,90,30,5,10,10,10,0.016379833,0.751111111,45.76004767,45.85813093
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.081800938,90,30,5,10,10,10,0.016235352,0.751111111,47.07158279,47.16961908
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.082375526,90,30,5,10,10,10,0.017000198,0.751111111,46.93804598,47.0374217
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.081614971,90,30,5,10,10,10,0.016976357,0.751111111,46.78598094,46.88457227
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.082134724,90,30,5,10,10,10,0.015714884,0.751111111,45.67393804,45.77178764
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.076327324,81,27,6,9,9,9,0.015693426,0.760493827,40.92111635,41.0131371
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.075814486,81,27,6,9,9,9,0.015094757,0.760493827,40.87359571,40.96450496
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.079212904,81,27,6,9,9,9,0.016019344,0.760493827,40.79609561,40.89132786
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.075101137,81,27,6,9,9,9,0.015707493,0.760493827,40.96661496,41.05742359
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.076156378,81,27,6,9,9,9,0.016427755,0.760493827,40.76502395,40.85760808
