Model_Type,Dataset,Mutable_Layers,Mutation_Level,Mutate_time,Number_of_Mutants,ParHAC_Threshold,Number_of_Clusters,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.526037455,531,0.45,432,83,1,1.229166667,7.153107882,0.657613169,355.0412669,533.1615996
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.479644775,531,0.45,435,82,1,1.220689655,6.936845064,0.636460905,352.45736,522.7074363
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499738693,531,0.5,460,72,1,1.154347826,7.23328495,0.693909465,374.7799811,534.6735027
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499253511,531,0.5,460,72,1,1.154347826,7.091566086,0.622798354,373.6367743,534.3621049
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499522686,531,0.5,459,73,1,1.156862745,7.072958231,0.693909465,373.3605638,532.2935748
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.512100935,531,0.5,460,72,1,1.154347826,7.125145674,0.62872428,379.9828782,528.8198504
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499387741,531,0.5,460,72,1,1.154347826,7.096712112,0.693909465,376.2419801,534.0532324
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.479483604,531,0.5,458,74,1,1.159388646,6.818056822,0.696049383,372.9244132,522.7804644
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.500582218,531,0.55,460,72,1,1.154347826,7.206571102,0.676131687,374.6037784,534.0109951
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499285221,531,0.55,460,72,1,1.154347826,7.026372433,0.693909465,377.0017884,536.0760403
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.492121935,531,0.55,461,70,1,1.151843818,6.904013872,0.693744856,378.3396521,536.3048682
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.489624262,531,0.55,460,72,1,1.154347826,7.114499569,0.646502058,381.9159517,524.6678822
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.492114305,531,0.55,460,72,1,1.154347826,7.105231762,0.693909465,379.5733309,528.7157125
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.510958672,531,0.55,461,70,1,1.151843818,6.809292316,0.693909465,374.0622554,538.2376137
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499889135,531,0.6,471,48,1,1.127388535,7.028953075,0.690288066,386.27825,535.9703243
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.497438908,531,0.6,472,48,1,1.125,7.04276824,0.630041152,390.3949876,537.3214486
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.490444899,531,0.6,473,46,1,1.122621564,7.17890811,0.651604938,389.2724006,536.3409147
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.480727434,531,0.6,473,46,1,1.122621564,7.106286287,0.640740741,391.7616415,526.6957242
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.487368107,531,0.6,472,48,1,1.125,7.202935934,0.683868313,386.5776811,528.9012728
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.500520706,531,0.6,471,50,1,1.127388535,6.823841095,0.684691358,389.6150212,526.2083657
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.519782543,531,0.65,484,20,1,1.097107438,7.09413147,0.676625514,399.3696003,535.2799239
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.497919083,531,0.65,485,20,1,1.094845361,7.086458445,0.653333333,399.388345,533.6433737
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.52056694,531,0.65,484,22,1,1.097107438,7.167284727,0.637777778,398.5838249,533.3679473
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.48977232,531,0.65,484,22,1,1.097107438,7.105971813,0.678765432,405.5454156,526.4536996
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.512419939,531,0.65,484,16,1,1.097107438,7.20204711,0.665432099,404.0445745,531.8247988
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.499385118,531,0.65,483,24,1,1.099378882,6.822525978,0.678600823,389.3052309,524.3724873
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.522901058,531,0.7,497,8,1,1.068410463,7.122464418,0.667572016,412.0257676,535.9162014
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.51392889,531,0.7,499,4,1,1.064128257,7.050449848,0.649711934,413.5571651,535.1974311
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.491957426,531,0.7,500,4,1,1.062,7.138413906,0.656296296,415.9984462,536.2171812
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.510031462,531,0.7,499,4,1,1.064128257,7.169281483,0.648148148,416.2800658,531.0972128
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.492046833,531,0.7,498,4,1,1.06626506,7.158565044,0.671687243,416.2854798,533.5921876
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.474018097,531,0.7,499,4,1,1.064128257,6.843752623,0.659259259,423.0211515,521.8643107
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.502043009,531,0.8,516,2,1,1.029069767,6.975366592,0.659588477,433.9219797,536.8885334
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.518880844,531,0.8,516,2,1,1.029069767,7.08748126,0.664032922,430.2729769,534.5298471
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.497734785,531,0.8,516,2,1,1.029069767,7.081208229,0.658765432,427.9174883,530.983017
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.500704765,531,0.8,516,2,1,1.029069767,7.026996136,0.661728395,432.6472445,529.2778199
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.489583492,531,0.8,516,2,1,1.029069767,7.112688065,0.662222222,427.2799888,531.1655302
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.504894733,531,0.8,516,2,1,1.029069767,6.77499938,0.668148148,437.4216807,527.8569894
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.518326998,531,0.9,530,2,1,1.001886792,6.926028728,0.662139918,446.6782191,536.2039816
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.514200687,531,0.9,529,2,1,1.003780718,7.016191483,0.662469136,443.5385311,532.9830852
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.493959427,531,0.9,529,2,1,1.003780718,7.11844039,0.661316872,445.2258456,535.7374649
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.490058899,531,0.9,529,2,1,1.003780718,7.004252434,0.661316872,445.4611304,526.8805132
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.519064665,531,0.9,529,2,1,1.003780718,7.126056671,0.662962963,446.2054455,531.7343271
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.501544714,531,0.9,529,2,1,1.003780718,6.804899693,0.662962963,449.9930277,529.6780837
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.494286537,531,0.99,530,2,1,1.001886792,6.999753475,0.663292181,444.8284519,533.5271215
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.497615814,531,0.99,530,2,1,1.001886792,6.971368551,0.662139918,444.901093,535.8423409
